bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
1,Om Sai Ram (C.T),A/C Seater / Sleeper (2+2),08:10,06h 50m,15:00,3.3,499,46
1,Om Sai Ram (C.T),A/C Seater / Sleeper (2+2),08:20,07h 40m,16:00,3.3,499,64
1,Om Sai Ram (C.T),NON A/C Seater (2+2),14:10,06h 50m,21:00,3.3,500,28
1,Om Sai Ram (C.T),NON A/C Seater (2+2),14:50,07h 00m,21:50,3.3,450,28
1,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,05h 32m,02:00,3.2,450,6
1,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,06h 40m,05:00,3.5,523,54
1,Saurabh Travels,A/C Seater Push Back (2+2),07:00,05h 30m,12:30,,405,42
1,Saurabh Travels,A/C Seater Push Back (2+2),07:12,05h 18m,12:30,,405,42
1,Saurabh Travels,A/C Seater Push Back (2+2),07:20,05h 10m,12:30,,405,42
1,Saurabh Travels,A/C Seater Push Back (2+2),07:25,05h 20m,12:45,,405,42
1,Saurabh Travels,A/C Seater Push Back (2+2),07:32,05h 18m,12:50,,405,42
1,Saurabh Travels,A/C Seater Push Back (2+2),07:37,05h 23m,13:00,,405,42
1,Saurabh Travels,A/C Seater Push Back (2+2),08:12,05h 18m,13:30,,405,42
1,Saurabh Travels,A/C Seater Push Back (2+2),08:41,05h 09m,13:50,,405,42
1,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,06h 30m,16:00,1.9,475,60
1,Vivek Travels,A/C Seater (2+2),13:25,07h 00m,20:25,,450,45
1,Vivek Travels,A/C Seater / Sleeper (2+2),13:30,07h 00m,20:30,,400,72
1,V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,06h 00m,03:40,2.6,350,53
1,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,05h 20m,04:00,2.6,405,26
2,ROYAL TRAVELS AND CARGO,A/C Seater / Sleeper (2+2),17:30,15h 00m,08:30,2.4,1496,24
2,Singh Express Bus Service,A/C Seater / Sleeper (2+2),15:00,19h 00m,10:00,1.0,1599,19
2,Rajdhani Express,A/C Seater / Sleeper (2+2),15:00,16h 00m,07:00,1.0,1899,29
2,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,14h 30m,10:50,1.9,1899,36
2,New Travel India,A/C Seater / Sleeper (2+1),17:35,14h 55m,08:30,1.3,2249,14
2,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 55m,08:10,1.3,2249,30
2,New Travel India,A/C Seater / Sleeper (2+1),18:00,14h 00m,08:00,1.3,2249,14
2,New Travel India,A/C Seater / Sleeper (2+1),17:40,14h 50m,08:30,1.3,2249,14
2,New Travel India,A/C Seater / Sleeper (2+1),18:05,13h 55m,08:00,1.3,2249,14
2,New Travel India,A/C Seater / Sleeper (2+1),18:15,13h 45m,08:00,1.3,2249,14
2,New Travel India,A/C Seater / Sleeper (2+1),17:30,15h 30m,09:00,1.3,2249,16
2,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),20:00,18h 30m,14:30,1.2,1899,72
2,Rajdhani Express,A/C Seater / Sleeper (2+2),16:00,17h 00m,09:00,1.0,1899,20
3,Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,03h 40m,01:00,3.6,230,33
3,V.I.P Travels,NON A/C Seater Push Back (2+2),07:30,05h 00m,12:30,2.7,230,38
3,Saurabh Travels,A/C Seater Push Back (2+2),10:30,03h 30m,14:00,,315,42
3,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),12:15,04h 00m,16:15,1.5,220,35
3,Ramna Travels,NON A/C Seater (2+2),12:45,03h 15m,16:00,,240,8
3,Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),15:30,04h 00m,19:30,1.5,220,35
3,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),09:30,04h 30m,14:00,3.2,428,60
3,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,06h 00m,04:00,4.5,523,54
3,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,04h 55m,03:15,3.6,523,54
3,Panwar Travels,A/C Sleeper (2+1),10:04,05h 36m,15:40,2.8,2775,16
3,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),13:53,05h 27m,19:20,1.9,360,12
