route_no,state_name,route_name,route_ref
1,Bihar State Road Transport Corporation (BSRTC),Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
2,Bihar State Road Transport Corporation (BSRTC),Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
3,Bihar State Road Transport Corporation (BSRTC),Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
4,Bihar State Road Transport Corporation (BSRTC),Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
5,Bihar State Road Transport Corporation (BSRTC),Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
6,Bihar State Road Transport Corporation (BSRTC),Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
7,Bihar State Road Transport Corporation (BSRTC),Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
8,Bihar State Road Transport Corporation (BSRTC),Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
10,Bihar State Road Transport Corporation (BSRTC),Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
11,NORTH BENGAL STATE TRANSPORT CORPORATION,Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
12,NORTH BENGAL STATE TRANSPORT CORPORATION,Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
13,NORTH BENGAL STATE TRANSPORT CORPORATION,Siliguri to Darjeeling,https://www.redbus.in/bus-tickets/siliguri-to-darjeeling
14,NORTH BENGAL STATE TRANSPORT CORPORATION,Kolkata to Raiganj,https://www.redbus.in/bus-tickets/kolkata-to-raiganj
15,NORTH BENGAL STATE TRANSPORT CORPORATION,Raiganj to Kolkata,https://www.redbus.in/bus-tickets/raiganj-to-kolkata
16,NORTH BENGAL STATE TRANSPORT CORPORATION,Kolkata to Malda,https://www.redbus.in/bus-tickets/kolkata-to-malda
17,NORTH BENGAL STATE TRANSPORT CORPORATION,Cooch Behar (West Bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/cooch-behar-west-bengal-to-berhampore
18,NORTH BENGAL STATE TRANSPORT CORPORATION,Kolkata to Cooch Behar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-cooch-behar-west-bengal
19,NORTH BENGAL STATE TRANSPORT CORPORATION,Malda to Kolkata,https://www.redbus.in/bus-tickets/malda-to-kolkata
21,WBTC (CTC),Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
22,WBTC (CTC),Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
23,WBTC (CTC),Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
24,WBTC (CTC),Suri to Kolkata,https://www.redbus.in/bus-tickets/suri-to-kolkata
25,WBTC (CTC),Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
26,WBTC (CTC),Bolpur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/bolpur-west-bengal-to-kolkata
27,WBTC (CTC),Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
28,WBTC (CTC),Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
29,WBTC (CTC),Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
30,WBTC (CTC),Habra to Digha,https://www.redbus.in/bus-tickets/habra-to-digha
31,WBTC (CTC),Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
32,WBTC (CTC),Barasat (West Bengal) to Debra,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-debra
33,WBTC (CTC),Barasat (West Bengal) to Asansol (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol
34,WBTC (CTC),Kolkata to Bakkhali,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali
35,WBTC (CTC),Barasat (West Bengal) to Nimtouri,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nimtouri
36,WBTC (CTC),Habra to Kolaghat,https://www.redbus.in/bus-tickets/habra-to-kolaghat
37,WBTC (CTC),Habra to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/habra-to-durgapur
38,WBTC (CTC),Barasat (West Bengal) to Mechogram,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-mechogram
39,WBTC (CTC),Habra to Haldia,https://www.redbus.in/bus-tickets/habra-to-haldia
40,WBTC (CTC),Habra to Contai (Kanthi),https://www.redbus.in/bus-tickets/habra-to-contai-kanthi
42,South Bengal State Transport Corporation (SBSTC),Burdwan to Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata
43,South Bengal State Transport Corporation (SBSTC),Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
44,South Bengal State Transport Corporation (SBSTC),Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
45,South Bengal State Transport Corporation (SBSTC),Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
46,South Bengal State Transport Corporation (SBSTC),Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
47,South Bengal State Transport Corporation (SBSTC),Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
48,South Bengal State Transport Corporation (SBSTC),Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
49,South Bengal State Transport Corporation (SBSTC),Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
50,South Bengal State Transport Corporation (SBSTC),Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
51,South Bengal State Transport Corporation (SBSTC),Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
52,South Bengal State Transport Corporation (SBSTC),Kolkata to Kirnahar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-kirnahar-west-bengal
53,South Bengal State Transport Corporation (SBSTC),Durgapur (West Bengal) to Bankura,https://www.redbus.in/bus-tickets/durgapur-to-bankura
54,South Bengal State Transport Corporation (SBSTC),Siliguri to Malda,https://www.redbus.in/bus-tickets/siliguri-to-malda
55,South Bengal State Transport Corporation (SBSTC),Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
56,South Bengal State Transport Corporation (SBSTC),Purulia to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/purulia-to-durgapur
57,PEPSU (Punjab),Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
58,PEPSU (Punjab),Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
